777 Memorial Dr,42.358639,-71.115165,Bisuteki Japanese Steak House,2,3.5,Japanese,Steak,Sushi,Asian,Korean
134 Hampshire St,42.370587,-71.097138,Oleana,3,4.5,Mediterranean,Middle Eastern,Turkish,International,Vegetarian
377 Walden St,42.383711,-71.13431,T.W. Food,4,5,American,French,Traditional,Contemporary,Vegetarian
40 Hampshire St,42.366463,-71.092025,Emma's Pizza,2,4,Pizza,Vegetarian,Italian,Sandwiches,Cafe
1 Kendall Sq,42.36637,-71.091256,State Park,2,4,Southern,American,Pub Food,Chicken,Contemporary
100 Cambridgeside Pl,42.367894,-71.076323,Chicken Now,1,2.5,Chicken,Fast Food,American,,
808 Memorial Dr,42.360879,-71.115571,Dunkin' Donuts,-9,2.5,Donuts,,,,
52 Brattle St,42.374284,-71.121926,Toscano Harvard Square,2,4.5,Italian,Contemporary,,,
912 Massachusetts Ave,42.368296,-71.108712,Plough and Stars,2,3.5,Irish,American,Pub Food,Sandwiches,Traditional
36 Jfk St,42.372591,-71.119769,Starbucks,1,3.5,Cafe,Coffee,Tea,,
1629 Cambridge St,42.374913,-71.109387,Darwin's,1,4.5,Sandwiches,Coffee,Deli,Cafe,Tea
36 Jfk St,42.372667,-71.119298,Le's Restaurant,1,4,Vietnamese,Asian,Noodle Bar,Vegetarian,Korean
1790 Massachusetts Ave,42.3861,-71.11931,Pho House,1,3.5,Pho,Thai,Vietnamese,Noodle Bar,Asian
5 Cambridgepark Dr,42.39575,-71.14162,Dunkin' Donuts,1,3,Donuts,Coffee,Tea,Bakery,Pastries
58 Jfk St,42.37179,-71.120729,Shay's Pub & Wine Bar,2,3.5,Pub Food,American,Traditional,Sandwiches,Tex Mex
3 Cambridge Ctr,42.362348,-71.085554,Au Bon Pain,1,5,American,Bakery,Coffee,Pastries,Fast Food
344 Huron Ave,42.381193,-71.137876,Full Moon,2,3,American,Traditional,Bistro,Italian,Seafood
1815 Massachusetts Ave,42.387337,-71.118797,Tapicha,1,-9,Tea,Cafe,Coffee,,
12 Springfield St,42.374056,-71.100499,Olecito,1,4,Mexican,Fast Food,American,Grill,Latin
24 Holyoke St,42.372116,-71.118423,Spice Thai Cuisine,2,3.5,Thai,Asian,Noodle Bar,Vegetarian,Healthy
5 Craigie Cir,42.37929,-71.127305,Ten Tables,3,4,American,Contemporary,Vegetarian,European,Organic
502 Massachusetts Ave,42.364056,-71.101846,Viale,3,4,Italian,Mediterranean,Tapas,Pasta,Pizza
616 Massachusetts Ave,42.336998,-71.077208,Dunkin' Donuts,1,4,Donuts,Fast Food,Frozen Yogurt,Ice Cream,Bakery
205 Broadway,42.366337,-71.093334,Tatte Bakery & Cafe,2,3.5,Bakery,Cafe,Coffee,Tea,Ice Cream
101 Main St,42.362192,-71.0816,Tatte Bakery & Cafe,1,-9,Bakery,Cafe,Ice Cream,Sandwiches,Subs
561 Cambridge St,42.371903,-71.085628,East Side Italian Restaurant,2,-9,Italian,Grill,,,
738 Massachusetts Ave,42.366208,-71.10521,Third Rail,-9,-9,Pub Food,,,,
699 Mount Auburn St,42.375038,-71.149132,Starbucks,1,3.5,Cafe,Coffee,Tea,,
1 Bennett St,42.37232,-71.122394,Noir,2,3.5,American,Pub Food,Eclectic,French,Italian
190 Massachusetts Ave,42.360978,-71.09641,Flour Bakery + Cafe,2,4.5,Bakery,Cafe,Sandwiches,Coffee,Tea
100 Cambridgeside Pl,42.368066,-71.075963,D'Angelo Grilled Sandwiches,1,3.5,Sandwiches,Deli,American,Subs,Wraps
777 Memorial Dr,42.358676,-71.114913,Club Caribe,-9,-9,,,,,
20 Eliot St,42.37207,-71.121655,Sabra Grill,1,5,Grill,Middle Eastern,African,Vegetarian,Healthy
20 Pearl St,42.364242,-71.103035,Pepper Sky's Thai Sensation,2,4,Thai,Asian,Healthy,Diner,Tea
279A Broadway,42.36818,-71.097789,Bondir,3,4,American,Contemporary,French,Vegetarian,Bistro
22 Jfk St,42.37304,-71.11966,Uno Chicago Grill,2,3.5,Grill,Pizza,American,Sandwiches,Italian
1238 Massachusetts Ave,42.37239,-71.115985,The Comedy Studio,1,4.5,,,,,
12 Museum Way,42.369437,-71.071655,Museum Market,1,3.5,Cafe,Coffee,Tea,Bagels,Deli
1008 Cambridge St,42.372702,-71.093845,Muqueca Restaurant,2,4,Brazilian,Seafood,Latin American,South American,American
1815 Massachusetts Ave,42.387209,-71.118822,Tampopo,1,4,Japanese,Asian,Korean,Sushi,Noodle Bar
795 Main St,42.363345,-71.097126,Cuchi Cuchi,3,4.5,Tapas,International,Spanish,Eclectic,European
20 University Rd,42.372394,-71.123341,Legal Sea Foods,3,4,Seafood,American,Traditional,Diner,Healthy
98 Winthrop St,42.37236,-71.121184,The Red House,3,4,American,Mediterranean,European,Seafood,International
955 Massachusetts Ave,42.369094,-71.109925,Dado Tea,1,4,Tea,Coffee,Cafe,Asian,Sandwiches
25 White St,42.38906,-71.118654,Cafe Zing,1,3.5,Cafe,Coffee,Tea,Bistro,Fast Food
822 Somerville Ave,42.388351,-71.118363,Anna's Taqueria,1,4.5,Mexican,Tex Mex,American,Vegetarian,Latin American
9 Linden St,42.372449,-71.117591,The Delphic Club,-9,-9,,,,,
2401 Massachusetts Ave,42.397358,-71.130085,Fiorella's Express,2,4.5,Pizza,Sandwiches,Italian,Healthy,Wraps
364 Broadway,42.370522,-71.104419,Barismo,2,-9,,,,,
90 Sherman St,42.388192,-71.13226,Gran Gusto,2,4.5,Italian,Pizza,Cafe,Vegetarian,American
1 Kendall Sq,42.36651,-71.090455,The Friendly Toast,2,4,American,Diner,Traditional,Sandwiches,Vegetarian
350 3rd St,42.363629,-71.083255,Evoo,3,4,American,Contemporary,Eclectic,International,Traditional
1 Canal Park,42.369739,-71.076893,Tahaza Hummus Kitchen,-9,-9,Mediterranean,Greek,Turkish,Vegan,
783 Main St,42.363327,-71.096884,Stefani's Pizzeria,1,2.5,Pizza,Italian,Greek,Sandwiches,Wraps
65 Jfk St,42.372587,-71.119591,Dunkin' Donuts,1,3,Donuts,Coffee,Bagels,Bakery,Diner
1815 Massachusetts Ave,42.387245,-71.118764,Blue Fin,2,4.5,Japanese,Sushi,Seafood,Asian,Korean
512 Massachusetts Ave,42.364137,-71.101852,Phoenix Landing,2,4,Pub Food,Sandwiches,Irish,American,Salad
401 Massachusetts Ave,42.363573,-71.100225,Desi Dhaba,2,3.5,Indian,Pakistani,Asian,American,Vegetarian
1105 Massachusetts Ave,42.370781,-71.113783,Cilantro,2,4.5,Chinese,Grill,Seafood,Vegetarian,
201 3rd St,42.36765,-71.081207,Kendall House of Pizza,1,4,Pizza,American,Sandwiches,Traditional,Italian
1128 Cambridge St,42.373085,-71.096081,East by Northeast,2,4,Chinese,Asian,Tapas,Fusion,Noodle Bar
691 Huron Ave,42.380845,-71.153111,Matilda's at Fresh Pond,-9,-9,Sandwiches,Fast Food,,,
1193 Cambridge St,42.373323,-71.097255,Tupelo,2,4.5,American,Southern,Cajun,Creole,Soul Food
CARLETON St,42.361617,-71.086274,Jerusalem Palace Truck,-9,-9,Halal,Middle Eastern,,,
765 Massachusetts Ave,42.366597,-71.105561,Life Alive,2,4.5,Vegetarian,Cafe,Organic,Vegan,Smoothies
1105 Massachusetts Ave,42.370622,-71.113585,Cafe Sushi,2,4,Cafe,Sushi,Japanese,Asian,Chinese
40 Edwin H Land Blvd,42.366923,-71.074898,ArtBar,2,4,American,Eclectic,International,Cafe,Pub Food
1154 Massachusetts Ave,42.371249,-71.11446,Zinneken's,1,3.5,Belgian,Coffee,American,Bakery,European
460 Massachusetts Ave,42.36371,-71.101101,Mary Chung Restaurant,2,4,Chinese,Dim Sum,Asian,Vegetarian,Cafe
1238 Cambridge St,42.373277,-71.098094,All Star Pizza Bar,1,4.5,Pizza,,,,
157 6th St,42.366437,-71.086159,Discovery Cafe,1,-9,Cafe,Sandwiches,Deli,Pizza,Soup
901 Main St,42.363478,-71.099532,Cinderella's Restaurant,2,3,Italian,Pizza,American,Cafe,Sandwiches
48 Quincy St,42.37587,-71.113842,Chauhaus - Graduate School of Design,1,-9,Coffee,Tea,Cafe,,
345 Cambridge St,42.371405,-71.081793,Aram's No 2 Pizza & Subs,1,3.5,Pizza,Subs,Sandwiches,Deli,Fast Food
31 Putnam Ave,42.368965,-71.113573,Petsi Pies,1,5,Bakery,Cafe,Coffee,Ice Cream,Tea
290 Main St,42.362283,-71.085585,Cosi,1,3.5,Salad,Sandwiches,Deli,Cafe,Coffee
100 Cambridgeside Pl,42.368054,-71.07606,Dunkin' Donuts,1,3,Donuts,Coffee,Fast Food,Bagels,
364 Broadway,42.370518,-71.104401,Dwelltime,2,3.5,Coffee,Tea,American,Contemporary,Cafe
1782 Massachusetts Ave,42.385883,-71.119423,Stone Hearth Pizza,2,4.5,Pizza,Organic,Italian,Cafe,Healthy
1815 Massachusetts Ave,42.387368,-71.118858,Tavern in the Square,2,4,American,Pub Food,Wings,Traditional,Burgers
20 Prospect St,42.36585,-71.103545,The Field,1,3.5,Pub Food,Irish,Sandwiches,American,Burgers
288 Green St,42.364662,-71.104272,Havana Club,2,-9,,,,,
50 Jfk St,42.372008,-71.120578,9 Tastes,2,4,Thai,Asian,Vegetarian,Noodle Bar,Healthy
1220 Cambridge St,42.37328,-71.097708,Guangzhou Restaurant,2,3.5,Chinese,Asian,Cafe,Vegetarian,Wings
1908 Massachusetts Ave,42.388845,-71.119765,Wok N Roll Restaurant,2,3.5,Chinese,Asian,American,,
18 Eliot St,42.372097,-71.121561,Tanjore,2,3.5,Indian,Vegetarian,Pakistani,Cafe,Asian
18 Eliot St,42.372099,-71.121501,Takemura Japanese Restaurant,2,3.5,Japanese,Sushi,Asian,American,Korean
1 Bennett St,42.372338,-71.122251,Regattabar,2,4,American,Italian,Sandwiches,Traditional,Pub Food
7 Holyoke St,42.372688,-71.118272,Clover Food Lab,1,5,Vegetarian,Sandwiches,Tea,Fast Food,Coffee
350 Massachusetts Ave,42.362643,-71.099559,The Asgard,2,3,Pub Food,Irish,American,European,Seafood
149 1st St,42.36636,-71.07817,Boca Grande,1,3.5,Mexican,Tex Mex,American,Fast Food,Sandwiches
2420 Massachusetts Ave,42.397548,-71.130618,Cambridge House of Pizza,1,3.5,Pizza,Sandwiches,American,Italian,Salad
2269 Massachusetts Ave,42.394632,-71.12696,Cafe Barada,2,4,Cafe,Middle Eastern,Lebanese,Greek,Mediterranean
45 1/2 Mount Auburn St,42.371304,-71.11651,Daedalus,2,4,American,Pub Food,Irish,Traditional,British
77 Massachusetts Ave,42.359081,-71.093502,Steam Cafe,1,4.5,Cafe,Chinese,Indian,Fast Food,Pakistani
1755 Massachusetts Ave,42.385066,-71.119185,The Abbey,3,4,American,Gastropub,Chowder,Contemporary,
CARLETON St,42.361874,-71.086044,Jose's Mexican Truck,-9,-9,Mexican,,,,
201 Broadway,42.366017,-71.092409,Kendall Kitchen,1,5,Sandwiches,Coffee,American,Cafe,Diner
500 Main St,42.362185,-71.089429,Koch Cafe,1,-9,Cafe,American,Traditional,Coffee,Sandwiches
1663 Massachusetts Ave,42.381803,-71.119622,Hi-Rise Bread Company,1,4,Cafe,Bakery,Coffee,Pastries,Tea
125 River St,42.36391,-71.108804,River Gods,2,4,Pub Food,American,Vegetarian,Vegan,Healthy
100 Cambridgeside Pl,42.368019,-71.076285,Chipotle Mexican Grill,2,4.5,Mexican,Grill,Fast Food,Cafe,
1124 Cambridge St,42.372987,-71.095924,Midwest Grill,2,3.5,Grill,Brazilian,Barbecue,Steak,South American
300 Technology Sq,42.363158,-71.09152,Catalyst Restaurant,3,4,American,Contemporary,Cafe,Vietnamese,Chicken
1369 Cambridge St,42.373743,-71.100374,1369 Coffee House,1,4,Coffee,Cafe,Tea,Salad,American
50 Broadway,42.36301,-71.085959,Champions Sports Bar,2,3.5,Pub Food,Burgers,Wings,American,
1760 Massachusetts Ave,42.385228,-71.11946,Half-Shell,1,4.5,Pizza,Cafe,,,
1 Kendall Sq,42.36609,-71.091164,West Bridge,3,4.5,French,American,Contemporary,Tapas,Belgian
114 Magazine St,42.3599,-71.109979,Surya Indian Kitchen N Catering,-9,-9,Indian,Vegetarian,Halal,Seafood,
575 Massachusetts Ave,42.365012,-71.102322,Bao Nation,1,-9,Asian,Fusion,Chinese,Sandwiches,Dim Sum
56 Jfk St,42.371829,-71.120572,Orinoco,2,4.5,Venezuelan,Latin,Latin American,South American,Mexican
1350 Massachusetts Ave,42.373054,-71.118522,Oggi Gourmet Foods,1,4,Pizza,Burgers,Italian,Cafe,Sandwiches
65 Mount Auburn St,42.371919,-71.118239,Insomnia Cookies,2,3.5,Bakery,Pastries,,,
1667 Massachusetts Ave,42.382071,-71.119492,Cambridge Common,2,4,American,Pub Food,Traditional,Burgers,Pizza
0 Brattle St,42.373385,-71.119966,Sweet,1,3.5,Bakery,Ice Cream,Pastries,,
50 Church St,42.374172,-71.120602,Fire & Ice,2,3.5,American,Vegetarian,Eclectic,Grill,Asian
29 Oxford St,42.378411,-71.116781,Savory Food Truck,-9,-9,Chinese,,,,
26 Everett St,42.379061,-71.118773,Harkness Commons,-9,-9,Cafe,,,,
450 Massachusetts Ave,42.363568,-71.10103,Naga,1,2.5,Asian,Fusion,Sushi,Tapas,Vegetarian
783 Main St,42.363355,-71.096964,Primo Pizza & Roast Beef,2,5,Pizza,Sandwiches,Italian,Wings,
36 Jfk St,42.372483,-71.119966,Chutney's,1,5,Indian,Fast Food,Asian,Pakistani,American
1001 Massachusetts Ave,42.369636,-71.111288,VO2 Vegan Cafe,1,3.5,Cafe,Vegan,Sandwiches,Subs,Vegetarian
1105 Massachusetts Ave,42.370553,-71.113513,Subway,1,-9,Fast Food,Sandwiches,Subs,,
1 Broadway,42.362449,-71.083132,Dunkin' Donuts,1,3.5,Donuts,Bagels,Coffee,Fast Food,Bakery
32 Church St,42.374291,-71.120266,Border Cafe,2,4,Cafe,Mexican,Cajun,Creole,Tex Mex
1108 Cambridge St,42.372992,-71.095796,Cafe Restaurant Lisboa,-9,-9,Cafe,,,,
655 Massachusetts Ave,42.365673,-71.103714,Starbucks,1,4,Cafe,Coffee,Tea,,
1 Alewife Ctr,42.398463,-71.140006,Corporate Cafe,-9,-9,Cafe,Deli,,,
212 Western Ave,42.364755,-71.110689,Anytime Pizza,2,3,Pizza,Sandwiches,Burgers,Italian,Wraps
450 Massachusetts Ave,42.363544,-71.100956,Veggie Galaxy,2,4.5,Vegetarian,Vegan,Bakery,Diner,American
174 Alewife Brook Pkwy,42.390286,-71.140631,Panera Bread,1,3,American,Sandwiches,Soup,Bakery,
1432 Massachusetts Ave,42.374202,-71.11899,Otto Pizza,1,4,Pizza,Italian,Vegetarian,,
57 Jfk St,42.372097,-71.120765,The Maharaja,2,4,Indian,Cafe,Asian,Japanese,Sushi
1500 Cambridge St,42.374137,-71.104672,Kolbeh of Kabob,2,4,Middle Eastern,Mediterranean,Persian,Cafe,Pizza
1 Kendall Sq,42.366093,-71.090798,Beantowne Coffee House,1,4,Coffee,Sandwiches,Cafe,Tea,Soup
1815 Massachusetts Ave,42.387294,-71.118963,I Love Sushi,1,-9,Sushi,Japanese,Seafood,,
25 Edwin H Land Blvd,42.367726,-71.075015,Bambara,2,3.5,American,Contemporary,Seafood,Traditional,Vegetarian
1668 Massachusetts Ave,42.381994,-71.119869,BerryLine,1,4.5,Ice Cream,Frozen Yogurt,,,
100 Mount Auburn St,42.372655,-71.120676,Peet's Coffee and Tea,1,4.5,Cafe,Coffee,Tea,,
1255 Cambridge St,42.373464,-71.098419,Christina's Homemade Ice Cream,1,4.5,Ice Cream,Coffee,Frozen Yogurt,Tea,Cafe
744 Massachusetts Ave,42.366191,-71.105335,ABC Pizza House,1,2.5,Pizza,Italian,Sandwiches,American,Subs
581 Massachusetts Ave,42.364975,-71.102762,Go! Go! Curry,2,3.5,Japanese,Indian,Seafood,Sushi,
2088 Massachusetts Ave,42.391356,-71.123441,Wasabi at Porter,2,-9,Japanese,Sushi,,,
1075 Cambridge St,42.373086,-71.095187,Clover Food Lab,1,4.5,Vegetarian,Fast Food,Organic,Sandwiches,Californian
1712 Massachusetts Ave,42.383535,-71.119765,Changsho Restaurant,2,4,Chinese,Asian,Dim Sum,Seafood,Vegetarian
201 Alewife Brook Pkwy,42.390004,-71.142716,Bon Me,-9,-9,Vietnamese,,,,
650 E Kendall St,42.364707,-71.081445,Cafe ArtScience,3,4.5,Cafe,American,Contemporary,French,
878 Massachusetts Ave,42.367807,-71.107761,People's Republik,1,4.5,Pub Food,American,Eclectic,International,Traditional
90 River St,42.364181,-71.107745,Cambridge Deli,1,4.5,Deli,Grill,Sandwiches,American,Burgers
345 Cambridge St,42.371412,-71.081797,Aram's House of Pizza,1,3.5,Pizza,,,,
1280 Massachusetts Ave,42.372723,-71.116809,Qdoba Mexican Grill,1,3.5,Mexican,Grill,Fast Food,Vegetarian,Tex Mex
1682 Massachusetts Ave,42.3825,-71.119762,Giulia,3,4.5,Italian,Seafood,Pasta,,
1246 Massachusetts Ave,42.372543,-71.116202,Mr. Bartley's Burger Cottage,1,4,Burgers,American,Traditional,Hot Dogs,Sandwiches
36 Jfk St,42.3726,-71.119986,Ben & Jerry's,1,3,Ice Cream,Frozen Yogurt,Coffee,Smoothies,American
16 Eliot St,42.372081,-71.121393,IHOP,1,3.5,American,Diner,International,Burgers,Coffee
202 3rd St,42.367559,-71.081068,Desfina Restaurant,2,4,Greek,Mediterranean,Salad,Seafood,European
1326 Massachusetts Ave,42.373056,-71.1179,Yenching Restaurant,2,4,Chinese,Asian,Seafood,,
1815 Massachusetts Ave,42.387222,-71.118808,Cafe Mami,1,4.5,Cafe,Japanese,Asian,Bistro,Sushi
1033 Massachusetts Ave,42.369822,-71.111981,Domino's Pizza,1,3,Pizza,,,,
468 Broadway,42.373853,-71.112971,Starbucks,1,4,Cafe,Coffee,Tea,,
70 Carleton St,42.361672,-71.086248,Momogoose Food Truck,1,3.5,Asian,Fusion,Sandwiches,Vietnamese,Cafe
561 Cambridge St,42.371846,-71.085664,Eastside Bar & Grill,2,4.5,Grill,Italian,Pizza,Pub Food,American
3 Church St,42.374484,-71.119229,Nameless Coffee House,1,-9,Coffee,Tea,Cafe,,
57 Jfk St,42.371982,-71.120809,Wagamama,2,3.5,Japanese,Asian,Noodle Bar,Fusion,American
1 Remington St,42.370637,-71.11388,Simple Truth Lounge,2,-9,American,,,,
186 Alewife Brook Pkwy,42.390321,-71.140694,McDonald's,1,3,Fast Food,Burgers,,,
225 Hampshire St,42.373848,-71.100875,Punjabi Dhaba,1,4.5,Indian,Asian,Pakistani,Cafe,Vegetarian
1 Eliot St,42.372667,-71.121338,Osushi,2,4,Sushi,Japanese,Seafood,Korean,Tapas
315 Massachusetts Ave,42.363579,-71.101496,Middlesex Lounge,1,3.5,American,Pub Food,International,Sandwiches,Eclectic
847 Cambridge St,42.372571,-71.090872,Kimchi Kitchen,-9,-9,Korean,,,,
1 Kendall Sq,42.366485,-71.091412,Cambridge Brewing Company,2,4.5,American,Pizza,Pub Food,Traditional,Chinese
1071 Cambridge St,42.373057,-71.095084,BISq,2,-9,American,Contemporary,Portuguese,Spanish,Eclectic
27 Church St,42.374456,-71.119958,Cambridge 1,2,4,Pizza,Italian,American,Vegetarian,Pub Food
407 Concord Ave,42.385803,-71.137485,Violette Gluten Free Bakery,-9,-9,Bakery,,,,
272 Brookline St,42.357395,-71.1079,Dimitrios Cuisine,1,4,Greek,Pizza,Sandwiches,Italian,Deli
660 Cambridge St,42.371932,-71.087636,Loyal Nine,3,4,American,Cafe,Coffee,Seafood,Oysters
1900 Massachusetts Ave,42.388741,-71.119715,Passage To India,2,3.5,Indian,Vegetarian,Pan Asian,American,Diner
222 Broadway,42.366456,-71.094019,Dunkin' Donuts,1,2.5,Donuts,Bakery,Coffee,Tea,Bagels
22 Jfk Street Sq,42.373037,-71.119657,UNO Pizzeria & Grill,-9,3.5,Grill,Pizza,American,Traditional,
31 Church St,42.374542,-71.120191,Starbucks,1,4,Cafe,Coffee,Tea,,
1923 Massachusetts Ave,42.389391,-71.119742,Yume Wo Katare,2,4,Japanese,Noodle Bar,Asian,American,
1 Kendall Sq,42.366329,-71.090962,The Blue Room,3,4,American,Mediterranean,International,Eclectic,Contemporary
730 Massachusetts Ave,42.366047,-71.105098,Tavern in the Square,2,3,American,Traditional,Pub Food,Pizza,Soup
1105 Massachusetts Ave,42.370687,-71.113604,Zoe's,2,3.5,Greek,American,Mediterranean,Diner,Pizza
124 Mount Auburn St,42.365666,-71.104571,Au Bon Pain,1,-9,Bakery,Coffee,Pastries,European,French
147 Huron Ave,42.38272,-71.130764,Trattoria Pulcinella,2,3.5,Italian,Mediterranean,European,Cafe,
571 Massachusetts Ave,42.364801,-71.10252,Dosa Factory,2,3,Indian,Asian,Vegetarian,Pakistani,Healthy
291 Cambridge St,42.371228,-71.080827,Courtside Restaurant,1,3.5,Pub Food,American,Pizza,Italian,Cafe
569 Cambridge St,42.371902,-71.085761,Curry Thai,1,4.5,Thai,Noodle Bar,Asian,Healthy,Seafood
52 Oxford St,42.379345,-71.115781,Northwest Science Building,-9,-9,Cafe,Sandwiches,,,
5 3rd St,42.372284,-71.079785,Dunkin' Donuts,1,3.5,Donuts,Coffee,Bagels,Bakery,Cafe
321 Massachusetts Ave,42.362555,-71.098684,Miracle of Science Bar & Grill,2,3.5,Grill,American,Burgers,Pub Food,Traditional
41 2nd St,42.369983,-71.078977,Cambridge Multicultural Arts Center,2,4.5,American,,,,
212 Hampshire St,42.373285,-71.100509,Ryles Jazz Club,2,3.5,Barbecue,American,Southern,Soul Food,
60 Linnaean St,42.381725,-71.124085,Cabot Caf�,-9,-9,Cafe,,,,
222 ALEWIFE Brk,42.388804,-71.14252,Starbucks,1,4,Cafe,Coffee,Tea,,
83 Mount Auburn St,42.372498,-71.119713,El Jefe's Taqueria,-9,-9,Mexican,,,,
148 Western Ave,42.364788,-71.108765,Beantown Taqueria,1,3.5,Mexican,Spanish,Southwestern,Tex Mex,
1 Hampshire St,42.366072,-71.090591,The Friendly Toast,1,4.5,American,Diner,Burgers,Vegan,
2382 Massachusetts Ave,42.396833,-71.129779,Qing Dao Garden Restaurant,1,3.5,Chinese,Asian,Cafe,Dim Sum,
80 1/2 Pearl St,42.362857,-71.104478,Baraka Cafe,2,4,Cafe,African,Mediterranean,French,Moroccan
1380 Massachusetts Ave,42.373339,-71.119281,Starbucks,1,3.5,Cafe,Coffee,Tea,,
100 Cambridgeside Pl,42.368177,-71.075928,Saladworks,2,3.5,Sandwiches,Salad,Soup,Vegetarian,Fast Food
2 Cambridge Ctr,42.362794,-71.085638,Starbucks,1,3,Cafe,Coffee,Tea,,
251 Cambridge St,42.37114,-71.080226,Royal Punjab,2,-9,Indian,Vegetarian,Halal,Seafood,
